year	proposal	development_status	development_by	link
2023	Add ability to share QR code for a page in any Wikimedia project	partially_done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Mobile_and_apps/Add_ability_to_share_QR_code_for_a_page_in_any_Wikimedia_project
2023	Search bar at preferences	done 	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Miscellaneous/Search_bar_at_preferences
2023	Native SVG support	partially_done	volunteers	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Multimedia_and_Commons/Native_SVG_support
2023	Linking of citing tool with Wikidata	partially_done	volunteers	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Citations/Linking_of_citing_tool_with_Wikidata
2023	Update Vega to the latest build	partially_done	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Multimedia_and_Commons/Update_Vega_to_the_latest_build
2023	Utility to attach acccount to all wikis	done 	volunteers	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Admins_and_patrollers/Utility_to_attach_acccount_to_all_wikis
2023	Create a button to expand all collapsible elements on a page	partially_done	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Reading/Create_a_button_to_expand_all_collapsible_elements_on_a_page
2023	Editable gallery captions in Visual Editor	done 	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Editing/Editable_gallery_captions_in_Visual_Editor
2023	Return to the article when closing the MediaViewer	done 	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Reading/Return_to_the_article_when_closing_the_MediaViewer
2023	Make the AbuseFilter edit window resizable and larger by default	done 	volunteers	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Anti-harassment/Make_the_AbuseFilter_edit_window_resizable_and_larger_by_default
2023	New users should see the deletion log when visiting a deleted page on English Wikipedia	done 	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/New_contributors/New_users_should_see_the_deletion_log_when_visiting_a_deleted_page_on_English_Wikipedia
2023	Support ASGI on Toolforge	done	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Bots_and_gadgets/Support_ASGI_on_Toolforge
2023	Links for preferences	not_done	None	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Miscellaneous/Links_for_preferences
2023	Fix Wikipedia IFTTT integration	done 	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Miscellaneous/Fix_Wikipedia_IFTTT_integration
2023	Change information about the number of watchers on a page	done 	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Notifications,_Watchlists_and_Talk_Pages/Change_information_about_the_number_of_watchers_on_a_page
2023	Fix security key (WebAuthn) support	partially_done	volunteers	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Miscellaneous/Fix_security_key_(WebAuthn)_support
2023	Add "search results per page" at the top of Special:Search	done 	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Multimedia_and_Commons/Add_%22search_results_per_page%22_at_the_top_of_Special:Search
2023	Quickly visit template's page in Visual Editor	done 	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Editing/Quickly_visit_template%27s_page_in_Visual_Editor
2023	Change year range shown in date selection popup	done 	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Miscellaneous/Change_year_range_shown_in_date_selection_popup
2023	Watchlist edit - "check all" checkbox	done 	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Notifications,_Watchlists_and_Talk_Pages/Watchlist_edit_-_%22check_all%22_checkbox
2023	Button to mark a single change as read in the global watch list	done 	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Notifications,_Watchlists_and_Talk_Pages/Button_to_mark_a_single_change_as_read_in_the_global_watch_list
2023	Make Special:Search on Commons show all requested thumbnails	partially_done	volunteers	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Multimedia_and_Commons/Make_Special:Search_on_Commons_show_all_requested_thumbnails
